id,ds,delta
63,2021-11-18,3.54869e-11
64,2022-03-14,2.14741e-08
65,2024-03-02,-2.68553e-11
66,2022-02-25,1.92183e-08
67,2023-05-17,-1.02081e-08
68,2024-09-10,8.86888e-10
69,2021-04-12,2.22958e-10
70,2020-12-30,-0.00874997
71,2021-04-06,-4.7204e-10
72,2024-08-24,-4.05053e-10
73,2023-08-29,6.82213e-09
74,2022-06-13,5.77135e-10
75,2021-10-17,-2.01935e-11
76,2024-04-10,-4.78418e-11
77,2022-07-02,0.00984651
78,2021-07-25,3.30503e-08
79,2022-06-18,-3.70934e-09
80,2022-01-09,-1.94424e-10
81,2023-08-19,-1.14746e-10
82,2020-11-06,-1.00552e-10
83,2023-03-05,6.09907e-11
84,2020-12-24,0.0284099
85,2024-08-17,1.56986e-10
86,2024-08-14,6.94336e-12
87,2022-12-23,-0.00560327
88,2023-04-25,7.57811e-10
89,2023-02-09,4.10444e-07
90,2021-10-12,-0.027801
91,2022-07-16,-7.97097e-11
92,2021-04-01,5.03012e-11
93,2023-07-06,-3.34142e-09
94,2021-08-25,-0.0144561
95,2023-10-22,1.38032e-09
96,2023-08-18,1.08905e-07
97,2021-12-02,2.22199e-10
98,2024-09-15,6.34404e-10
99,2024-03-06,-0.0616913
100,2024-08-19,0.000307204
101,2024-10-02,1.00744e-11
102,2021-05-24,3.22421e-11
103,2023-10-07,7.24308e-09
104,2024-03-27,0.00448847
105,2020-10-30,-1.55263e-10
106,2021-12-16,-0.026058
107,2022-07-13,-1.96145e-10
108,2024-03-19,-1.73982e-10
109,2023-10-22,-3.06015e-08
110,2023-10-11,-1.71412e-10
111,2023-10-25,-0.0201414
112,2022-05-13,1.26435e-08
113,2024-08-16,3.32176e-10
114,2021-02-20,-5.25246e-11
115,2023-11-29,2.0378e-10
116,2022-10-10,-1.0218e-10
117,2022-12-05,0.0294554
118,2022-03-20,5.12074e-11
119,2023-03-03,7.09242e-10
120,2023-01-05,-4.14712e-10
121,2021-10-06,0.056119
122,2022-08-14,0.0433363
123,2021-12-27,2.31025e-09
124,2023-09-25,0.0563475
125,2023-02-01,-8.25429e-11
126,2021-12-18,-2.44023e-08
127,2023-07-17,-6.54654e-09
128,2020-11-29,-3.489e-08
129,2024-01-28,-9.67076e-11
130,2022-11-12,-6.35724e-12
131,2023-12-06,-1.36474e-09
132,2024-04-11,6.20775e-10
133,2024-04-13,1.44235e-09
134,2021-07-13,-1.285e-09
135,2021-09-27,-6.62846e-10
136,2023-06-08,5.16502e-10
137,2022-07-23,-5.86453e-10
138,2024-05-30,0.0363287
139,2023-03-30,3.46538e-08
140,2022-08-20,3.77595e-10
141,2023-02-13,2.3101e-05
142,2024-02-11,0.0252701
143,2021-12-28,7.60227e-11
144,2023-06-14,3.4586e-07
145,2024-02-12,-1.45631e-05
146,2024-04-25,2.09687e-11
147,2021-08-18,8.37364e-12
148,2023-04-27,-8.01832e-10
149,2023-02-02,-2.35223e-09
150,2023-10-05,-4.63525e-11
151,2024-04-24,1.04067e-10
152,2023-08-09,4.38783e-10
153,2024-09-29,-4.3388e-11
154,2024-04-21,0.0256948
155,2022-03-11,6.1865e-09
156,2021-01-24,2.07339e-09
157,2024-07-19,1.12019e-10
158,2021-10-11,-2.33717e-10
159,2024-01-12,-8.73526e-11
160,2022-05-19,-6.75824e-08
161,2023-04-28,-1.24926e-11
162,2022-02-06,-8.56599e-11
163,2021-07-13,9.18588e-10
164,2023-01-14,-2.84806e-07
165,2023-04-28,0.0195172
166,2023-01-10,7.99545e-10
167,2021-11-24,0.0164906
168,2021-10-27,-1.20338e-10
169,2022-07-17,0.003676
170,2022-11-19,9.2954e-10
171,2023-01-05,-8.53865e-11
172,2023-03-23,6.66864e-10
173,2022-06-26,0.00565839
174,2024-09-24,3.2589e-12
175,2020-12-02,-5.09254e-10
176,2024-04-30,1.50491e-10
177,2023-12-29,9.95676e-05
178,2022-02-22,-3.9054e-09
179,2021-12-08,-2.21128e-09
180,2022-08-13,-1.11268e-09
181,2021-10-13,-5.21219e-10
182,2021-05-26,-0.0180473
183,2024-10-01,-7.61114e-10
184,2022-07-19,1.76149e-10
185,2021-07-19,-1.54757e-09
186,2024-10-24,2.14243e-11
187,2023-05-05,-2.17076e-12
188,2023-02-04,-2.2418e-11
189,2023-07-18,0.028797
190,2022-03-22,-4.33182e-10
191,2022-07-27,-9.54481e-11
192,2020-12-20,-8.24699e-09
193,2021-12-27,4.92406e-11
194,2022-10-25,1.03468e-05
195,2021-12-11,-2.23082e-07
196,2021-07-27,-9.00999e-11
197,2021-02-24,7.34781e-11
198,2022-05-10,-9.69498e-10
199,2024-07-24,8.33446e-09
200,2023-01-08,4.78665e-10
201,2021-12-04,2.83639e-10
202,2021-02-03,1.02008e-09
203,2023-10-12,0.00528238
204,2024-10-12,5.09248e-10
205,2023-06-01,0.0318782
206,2023-03-26,-3.17682e-10
207,2021-04-26,-8.52802e-11
208,2024-03-18,5.05797e-10
209,2020-11-15,5.07513e-09
210,2022-12-13,-1.36603e-09
211,2022-03-09,1.58498e-09
212,2023-03-14,-9.82934e-10
213,2020-11-09,3.72036e-10
214,2021-04-14,0.00663051
215,2023-04-17,0.0270718
216,2021-01-25,4.19414e-08
217,2024-07-28,1.70925e-10
218,2022-12-16,-6.13034e-10
219,2020-10-27,-3.62858e-10
220,2023-10-13,-2.77272e-11
221,2020-11-06,4.03364e-08
222,2021-04-16,1.79173e-10
223,2021-03-02,0.0145923
224,2021-07-07,0.120639
225,2023-11-19,3.03582e-05
226,2023-02-26,-4.41847e-05
227,2023-07-18,-9.91238e-12
228,2021-11-20,7.99722e-11
229,2023-07-17,-1.50901e-10
230,2024-08-28,6.00298e-10
231,2022-04-28,1.15343e-06
232,2021-08-03,-0.0125345
233,2022-08-13,-8.94859e-12
234,2023-05-07,1.86517e-10
235,2023-06-22,1.768e-10
236,2024-05-11,6.59109e-10
237,2024-10-26,1.16498e-12
238,2021-08-21,-2.83479e-10
239,2021-03-12,0.0150436
240,2023-04-10,-4.10382e-10
241,2024-02-22,-0.0172735
242,2024-05-23,1.46134e-07
243,2024-05-13,8.97264e-05
244,2024-04-27,-4.33672e-10
245,2024-09-02,-0.0107256
246,2023-05-23,3.29624e-10
247,2023-03-09,-2.55047e-10
248,2024-06-10,-0.00106676
249,2021-06-26,3.36571e-09
250,2021-03-12,1.34343e-10
251,2022-11-20,-4.87297e-11
252,2020-10-06,1.27302e-08
253,2021-10-17,-3.13434e-11
254,2022-03-18,-0.034014
255,2021-05-10,2.12612e-09
256,2023-12-12,-8.09725e-08
257,2022-12-16,-7.19351e-09
258,2023-10-16,5.8789e-10
259,2024-01-13,0.00600059
260,2022-04-13,1.25702e-09
261,2023-10-19,-0.0110931
262,2022-05-27,1.00447e-10
263,2022-11-17,-1.73033e-11
264,2021-05-21,-0.0666081
265,2022-02-01,0.0367448
266,2023-08-12,-2.96019e-09
267,2021-07-30,1.83336e-10
268,2022-10-12,-1.66965e-09
269,2021-06-02,0.00879546
270,2021-02-13,2.62139e-11
271,2024-08-16,0.00590792
272,2024-05-07,-1.14331e-08
273,2022-01-01,-5.97125e-09
274,2023-10-13,-1.05362e-07
275,2023-10-25,-4.74894e-10
276,2024-06-12,7.12396e-11
277,2023-10-01,-1.39848e-11
278,2021-08-10,0.00653849
279,2023-04-07,-1.01683e-10
280,2023-01-31,-0.00865661
281,2023-08-15,-1.37043e-10
282,2022-12-06,-0.0110442
283,2022-09-29,2.14951e-10
284,2024-10-25,1.75879e-10
285,2023-06-25,7.54652e-12
286,2021-09-29,-1.39455e-09
287,2021-09-21,2.20438e-10
288,2023-06-09,0.0199298
289,2023-07-06,7.16998e-10
290,2023-06-13,-4.96773e-12
291,2022-02-01,-2.06899e-11
292,2022-12-23,-6.78961e-08
293,2022-11-13,3.36236e-09
294,2024-02-27,4.60344e-10
295,2021-08-14,9.38363e-10
296,2021-03-15,3.27223e-12
297,2023-03-08,-0.00579111
298,2021-10-06,-0.0743138
299,2021-08-27,-1.30743e-10
300,2023-09-28,-1.53487e-11
301,2023-06-18,1.78538e-08
302,2024-01-26,5.67002e-10
303,2023-10-20,-7.3624e-11
304,2023-10-04,0.000992561
305,2021-09-23,0.0280301
306,2020-11-03,0.0412156
307,2023-05-17,5.19642e-11
308,2023-06-24,7.11729e-05
309,2022-01-27,0.0879405
310,2021-09-06,-1.6164e-10
311,2022-03-31,0.0832395
312,2023-02-15,1.39255e-09
313,2022-09-02,-1.21539e-10
314,2024-03-30,0.0184939
315,2023-03-28,-1.61815e-09
316,2020-12-24,3.52441e-10
317,2020-12-18,8.92148e-09
318,2020-12-01,3.76838e-11
319,2021-03-17,-2.57965e-10
320,2022-06-30,6.85797e-10
321,2021-07-24,4.27144e-10
322,2021-10-09,-4.58487e-11
323,2022-11-26,-9.14433e-12
324,2024-04-12,1.65389e-10
325,2023-01-30,-0.018619
326,2023-11-11,-6.68825e-05
327,2023-08-27,0.0118348
328,2024-10-24,9.60939e-11
329,2022-09-18,-6.11533e-10
330,2022-01-07,0.00939869
331,2021-07-19,7.79504e-12
332,2024-05-14,2.74072e-11
333,2024-08-03,2.88271e-08
334,2023-05-13,0.00491339
335,2024-05-05,-0.0562734
336,2022-04-07,5.40808e-11
337,2023-08-30,1.34391e-10
338,2023-06-12,9.80626e-09
339,2021-09-18,-9.0453e-08
340,2022-06-04,2.03625e-10
341,2023-04-06,-2.32016e-10
342,2022-09-27,1.08921e-10
343,2024-07-18,7.95757e-12
344,2021-10-20,0.0198412
345,2023-03-26,0.031836
346,2021-12-18,0.0118413
347,2021-01-20,0.000831294
348,2024-10-01,-1.31136e-11
349,2023-05-31,3.273e-09
350,2021-11-21,-7.28156e-10
351,2021-08-29,0.00896278
352,2021-02-25,-1.02864e-11
353,2022-06-14,5.06611e-10
354,2022-12-04,2.19443e-09
355,2024-10-17,7.66463e-12
356,2024-01-16,-2.92729e-10
357,2022-02-09,1.13429e-09
358,2022-03-16,1.3268e-09
359,2021-01-28,3.83232e-10
360,2021-07-28,7.78981e-11
361,2022-10-30,7.05506e-08
362,2023-01-02,0.0315875
363,2023-01-03,0.0146011
364,2024-02-01,-2.62519e-11
365,2024-08-31,-6.99589e-10
366,2021-05-31,0.000199737
367,2021-01-02,0.0216588
368,2022-09-18,7.9682e-10
369,2024-02-11,2.11662e-10
370,2023-01-18,-1.21352e-10
371,2022-12-22,-1.63754e-05
372,2022-05-21,4.02912e-10
373,2022-05-27,1.19068e-10
374,2022-03-18,-6.12246e-09
375,2021-12-13,-0.00830348
376,2023-06-10,-2.30296e-09
377,2022-01-23,-1.02377e-10
378,2021-12-26,5.69741e-10
379,2023-09-06,6.15074e-10
380,2022-08-12,-2.93129e-10
381,2022-06-01,1.68607e-08
382,2023-08-01,0.00183503
383,2023-08-05,-3.67875e-11
384,2020-11-21,5.47219e-10
385,2022-08-19,1.085e-10
386,2023-07-30,0.00686818
387,2023-04-01,0.00201141
388,2022-01-21,-3.65123e-10
389,2024-07-27,3.55488e-10
390,2023-11-25,-2.09076e-08
391,2022-02-27,1.10936e-11
392,2021-08-22,-6.10976e-11
393,2022-09-22,-2.3024e-10
394,2021-12-26,-4.72489e-10
395,2023-07-29,1.41471e-11
396,2021-03-28,-1.97568e-09
397,2021-04-08,-9.08699e-10
398,2021-05-19,-1.70302e-11
399,2021-05-17,3.3696e-10
400,2020-10-23,0.00483102
401,2023-06-13,-6.28848e-10
402,2023-05-19,-0.0189437
403,2022-10-10,0.0177274
404,2022-11-30,9.13724e-10
405,2024-06-14,1.10648e-10
406,2023-08-29,-7.70014e-10
407,2023-02-10,-1.41793e-09
408,2024-08-03,-5.13545e-10
409,2022-05-07,1.94802e-13
410,2024-09-24,-3.57429e-10
411,2024-01-02,-2.03813e-07
412,2023-05-02,-0.035962
413,2023-01-29,-1.71218e-09
414,2023-08-30,-8.89866e-12
415,2024-03-14,-4.67398e-10
416,2022-06-16,6.20992e-10
417,2021-10-23,-2.64774e-10
418,2024-07-11,0.0149417
419,2022-10-13,-7.06977e-10
420,2024-05-08,-0.0360896
421,2021-08-28,-3.44543e-11
422,2024-01-09,-1.87889e-08
423,2024-05-24,6.21937e-10
424,2024-08-16,-2.12588e-10
425,2021-07-28,-0.0331712
426,2023-07-08,2.46708e-10
427,2022-10-20,4.82356e-10
428,2021-04-10,8.98956e-11
429,2022-01-12,1.79491e-09
430,2023-11-25,2.62766e-09
431,2023-01-24,-3.09051e-07
432,2024-09-08,-2.12489e-11
433,2020-10-16,2.30322e-11
434,2023-09-09,-4.01387e-10
435,2023-10-13,-8.53885e-11
436,2021-08-10,-1.47095e-10
437,2021-01-08,-3.10544e-06
438,2022-03-14,2.86511e-09
439,2021-08-16,5.93902e-10
440,2024-04-02,1.49002e-11
441,2024-09-30,-1.88282e-10
442,2023-12-03,1.04366e-09
443,2021-04-18,-2.15718e-07
444,2021-01-13,-1.45048e-10
445,2022-07-09,0.0447233
446,2023-10-07,-1.41723e-09
447,2021-04-06,6.7179e-11
448,2021-02-02,-3.30043e-10
449,2022-02-06,-8.8549e-11
450,2023-10-07,0.00235162
451,2024-05-04,0.00230647
452,2021-10-17,-0.0105068
453,2022-08-17,1.86217e-09
454,2022-05-13,4.96741e-11
455,2021-09-17,-0.00135503
456,2022-04-17,-1.54418e-09
457,2021-06-18,-4.03931e-09
458,2024-04-07,-5.02172e-10
459,2021-11-03,-5.72502e-09
460,2024-10-01,-4.47536e-11
461,2020-11-16,0.0192351
462,2020-10-12,-1.75001e-10
463,2023-03-08,-1.76218e-10
464,2022-10-08,-0.0255369
465,2022-12-22,-1.52915e-07
466,2023-07-22,0.00555124
467,2023-10-01,-6.32293e-11
468,2023-10-12,6.39263e-10
469,2021-11-29,2.77671e-05
470,2021-01-25,7.24402e-09
471,2020-11-20,-0.026016
472,2021-01-01,-0.0161387
473,2021-05-14,-3.00403e-10
474,2021-12-25,2.32402e-09
475,2021-09-20,-4.993e-11
476,2023-08-17,2.18785e-11
477,2021-07-18,-1.47868e-10
478,2022-05-05,0.0161488
479,2022-05-10,8.45172e-11
480,2021-09-23,-6.72162e-09
481,2021-07-19,-9.3238e-11
482,2022-05-24,-1.09396e-09
483,2023-01-08,-1.26081e-10
484,2024-08-18,0.0259397
485,2020-11-22,2.11819e-10
486,2024-03-15,-1.96474e-11
487,2021-08-21,8.99381e-10
488,2023-08-09,-0.00458988
489,2021-07-25,-0.0168534
490,2023-05-06,1.95088e-10
491,2022-10-01,0.0121023
492,2022-06-26,0.0338709
493,2022-05-08,-2.97941e-11
494,2020-12-24,-5.35035e-11
495,2021-06-06,-2.03055e-06
496,2021-11-16,1.32827e-08
497,2023-12-29,4.00996e-09
498,2022-08-11,-1.0403e-11
499,2022-12-06,1.15203e-10
500,2023-06-29,-4.63137e-10
501,2020-11-26,-0.00334259
502,2024-07-19,-4.00212e-10
503,2024-07-16,2.10525e-08
504,2022-11-21,8.37871e-10
505,2021-09-07,8.0793e-09
506,2022-08-06,-1.32329e-09
507,2023-01-09,-1.73656e-10
508,2023-03-09,1.0798e-09
509,2021-12-04,1.9667e-10
510,2023-09-01,0.0205012
511,2024-09-30,-1.67263e-09
512,2022-12-03,-1.39765e-10
513,2022-06-21,-7.44536e-11
514,2022-10-23,0.0951789
515,2023-07-31,1.22443e-07
516,2022-08-24,-0.00959898
517,2024-03-15,7.83794e-10
518,2022-09-27,4.4782e-09
519,2021-10-10,-1.03993e-09
520,2024-04-28,-5.2759e-12
521,2022-09-02,6.98995e-08
522,2020-12-20,-1.79055e-10
523,2021-10-25,-5.78421e-10
524,2024-02-06,9.62201e-10
525,2023-07-05,-6.37695e-10
526,2021-11-16,-1.84782e-09
527,2021-05-08,5.24747e-09
528,2022-01-22,-3.25579e-10
529,2024-03-11,-2.27654e-05
530,2024-09-14,6.82183e-09
531,2024-09-16,0.0143285
532,2022-07-21,-8.50722e-11
533,2022-05-11,0.0195438
534,2024-06-21,8.50576e-13
535,2021-11-27,-0.0240306
536,2023-02-13,-1.2614e-10
537,2024-04-24,0.0016534
538,2021-05-25,-1.38569e-10
539,2020-11-26,-0.0182141
540,2023-10-11,7.55441e-13
541,2024-02-01,0.00571126
542,2023-08-31,6.12513e-11
543,2021-01-30,1.41242e-11
544,2024-01-03,2.07309e-10
545,2022-01-18,-0.0237867
546,2022-05-26,1.47932e-09
547,2020-12-22,3.51036e-11
548,2021-07-31,4.29541e-11
549,2022-12-06,-5.20351e-10
550,2023-06-12,4.36585e-10
551,2022-04-08,-7.34526e-10
552,2023-06-05,-7.71734e-08
553,2024-08-09,3.2906e-09
554,2022-03-27,1.87061e-09
555,2021-03-25,-7.74071e-10
556,2022-02-05,-8.41125e-11
557,2024-03-25,-1.00677e-11
558,2023-11-04,3.98562e-11
559,2023-05-22,-5.71782e-10
560,2021-10-03,-1.11451e-09
561,2021-08-15,-4.7518e-10
562,2021-12-21,-4.8731e-11
563,2022-08-19,0.0317001
564,2023-10-02,3.60015e-11
565,2024-08-03,-8.70628e-12
566,2022-06-24,-1.81767e-11
567,2022-10-31,-1.9669e-10
568,2021-10-13,3.25553e-10
569,2024-10-24,0.0676135
570,2024-02-13,5.82286e-09
571,2021-09-07,0.00289663
572,2024-10-16,-3.72872e-10
573,2022-02-01,-8.20369e-10
574,2022-01-07,0.0294996
575,2024-03-31,-2.07278e-09
576,2023-06-29,0.00420603
577,2021-03-15,-6.07745e-10
578,2020-12-12,-2.51096e-10
579,2023-09-19,0.0747994
580,2023-07-31,1.21806e-07
581,2022-01-18,-2.556e-11
582,2024-03-08,-3.93142e-09
583,2024-01-26,-3.15328e-10
584,2024-05-29,2.39384e-10
585,2024-09-03,4.52833e-09
586,2022-02-06,2.92405e-11
587,2024-03-25,2.99738e-10
588,2022-04-30,-2.43347e-11
589,2021-12-05,-8.78495e-11
590,2023-08-27,0.0231872
591,2024-02-14,1.79466e-12
592,2020-12-23,-1.07853e-10
593,2020-12-12,-1.17258e-07
594,2024-04-08,-1.07829e-11
595,2023-09-13,6.84399e-11
596,2022-08-05,0.0293493
597,2022-08-07,1.17709e-10
598,2024-05-03,-7.64768e-07
599,2021-02-22,-1.09763e-09
600,2022-01-10,-3.18512e-10
601,2021-05-17,-3.18467e-09
602,2023-05-05,-0.000503432
603,2020-12-25,7.86841e-12
604,2020-10-02,1.58387e-10
605,2021-10-24,1.28558e-09
606,2021-07-27,-2.29226e-10
607,2022-12-02,-2.67655e-10
608,2022-05-14,0.021838
609,2024-08-17,-3.53933e-11
610,2023-04-18,-6.52456e-12
611,2021-08-25,3.77309e-09
612,2022-05-25,1.739e-11
613,2021-11-18,-0.00572695
614,2021-07-03,-6.08061e-11
615,2021-04-11,1.03555e-07
616,2022-07-17,7.0028e-10
617,2024-03-10,2.21681e-09
618,2023-05-21,2.31892e-11
619,2024-10-03,1.94869e-11
620,2022-10-13,-1.17213e-10
621,2023-07-03,9.35283e-10
622,2023-11-28,-1.17732e-09
623,2022-01-20,3.15586e-10
624,2022-05-04,-5.51429e-10
625,2023-07-01,1.19637e-11
626,2023-10-16,-6.45838e-09
627,2022-02-26,-3.13479e-11
628,2022-03-16,-2.53239e-11
629,2021-07-20,-1.21735e-11
630,2024-09-07,-0.0084786
631,2023-04-26,0.000910013
632,2021-07-11,8.99626e-10
633,2024-01-08,3.5309e-09
634,2024-05-07,-9.45792e-12
635,2021-09-11,-8.24217e-10
636,2023-06-22,3.56942e-10
637,2021-10-18,-3.19653e-09
638,2024-10-16,-2.618e-08
639,2021-03-06,0.0883432
640,2023-06-10,-0.141093
641,2021-11-30,0.105272
642,2021-03-08,-0.0861393
643,2022-07-18,2.41298e-12
644,2022-08-02,5.06973e-11
645,2022-05-08,1.19256e-09
646,2023-02-13,4.76291e-10
647,2022-03-16,1.53056e-09
648,2024-04-15,-9.26286e-10
649,2021-06-04,1.73263e-10
650,2022-01-22,-2.98697e-10
651,2023-06-08,0.00416389
652,2024-06-20,7.75517e-08
653,2023-03-12,-0.00236027
654,2020-11-05,-0.0700259
655,2023-08-23,2.77074e-11
656,2020-10-16,2.47877e-09
657,2022-10-18,-3.29701e-11
658,2021-01-30,-0.00895149
659,2021-07-31,6.41489e-10
660,2021-07-14,8.75966e-11
661,2021-12-01,-7.98437e-11
662,2022-03-09,2.16803e-09
663,2023-12-01,-9.99313e-09
664,2021-02-09,0.0248254
665,2022-10-23,6.7083e-11
666,2021-01-02,3.39369e-10
667,2021-07-30,5.01057e-06
668,2024-08-12,1.71202e-10
669,2022-10-05,0.0152716
670,2022-12-03,-0.00491017
671,2020-12-12,7.44556e-11
672,2023-10-26,-2.38253e-10
673,2024-05-03,3.37395e-11
674,2023-05-29,-3.79354e-10
675,2024-05-13,0.0543328
676,2023-03-20,0.0241808
677,2024-01-12,0.000858417
678,2024-06-18,7.15773e-09
679,2021-09-25,-2.22169e-10
680,2024-05-18,0.0121012
681,2021-04-12,-0.00603271
682,2020-10-31,-0.0234515
683,2024-01-31,-1.37097e-11
684,2023-06-02,2.77558e-09
685,2024-03-16,-2.06576e-07
686,2024-02-06,2.25156e-10
687,2023-03-15,-0.00194428
688,2021-01-05,0.00719789
689,2023-01-05,-1.52947e-09
690,2022-09-12,9.49446e-11
691,2022-05-07,-5.0977e-11
692,2021-03-11,3.09339e-09
693,2021-06-18,2.73753e-10
694,2024-10-14,-2.28949e-10
695,2021-10-02,3.63753e-09
696,2024-02-01,-8.96175e-11
697,2022-11-28,5.86907e-09
698,2021-02-14,-1.54877e-09
699,2023-09-11,1.95571e-10
700,2023-12-04,-1.58722e-06
701,2023-08-09,0.026751
702,2020-10-21,6.02491e-09
703,2020-12-17,-2.30456e-10
704,2021-07-23,-0.0255495
705,2021-01-18,-0.0151297
706,2023-10-05,7.90334e-10
707,2024-09-23,-6.41275e-10
708,2022-09-30,-0.0394044
709,2024-08-15,2.31438e-10
710,2023-04-25,0.0297081
711,2023-09-16,-2.94295e-11
712,2022-07-18,6.40361e-11
713,2020-12-17,-7.97402e-09
714,2022-11-18,1.91587e-08
715,2023-05-05,3.55518e-09
716,2022-03-26,3.97165e-10
717,2022-09-02,-0.000956165
718,2024-07-10,-8.3333e-09
719,2023-12-22,1.89647e-10
720,2020-11-21,1.73306e-10
721,2024-10-19,3.20269e-10
722,2022-07-19,-0.0169664
723,2023-01-25,-2.23656e-10
724,2021-01-03,-9.3806e-12
725,2021-10-29,-4.57262e-05
726,2022-10-21,-6.32726e-08
727,2024-08-31,-2.56835e-08
728,2023-04-20,-3.91815e-10
729,2022-04-05,-6.85747e-11
730,2022-10-07,-1.42508e-10
731,2021-01-04,-5.54454e-10
732,2021-12-10,-0.0202293
733,2024-03-14,-0.0289059
734,2020-10-18,-1.45637e-13
735,2020-10-18,6.83972e-10
736,2023-11-21,-3.20155e-09
737,2022-12-18,-0.0166406
738,2024-09-03,-1.13009e-09
739,2024-02-27,-0.0249016
740,2023-05-15,-5.0839e-10
741,2023-07-09,1.55686e-09
742,2021-11-20,0.0086707
743,2021-01-23,-6.78544e-11
744,2024-01-22,3.14242e-09
745,2024-02-22,1.0836e-09
746,2024-02-21,-3.90079e-12
747,2022-03-07,0.0244058
748,2024-05-21,1.33144e-11
749,2022-11-01,1.60275e-10
750,2024-08-28,0.0195795
751,2022-11-17,-8.62973e-10
752,2021-05-21,2.83662e-10
753,2023-04-12,-1.3149e-10
754,2024-09-23,-2.97031e-11
755,2022-05-01,1.02084e-10
756,2022-10-28,-2.99515e-10
757,2021-04-27,0.0607209
758,2021-10-08,-1.40122e-09
759,2024-05-11,6.73603e-11
760,2023-02-04,1.78824e-10
761,2022-10-22,-0.0201033
762,2021-05-07,0.0041019
763,2021-05-28,1.52338e-09
764,2023-03-10,0.0409418
765,2021-12-07,2.92369e-12
766,2022-11-03,1.32659e-09
767,2024-05-26,5.01051e-08
768,2021-04-07,3.67891e-10
769,2022-05-14,-7.17631e-09
770,2021-04-08,6.53453e-11
771,2023-10-31,-5.0664e-10
772,2022-06-19,3.62165e-11
773,2023-08-12,6.5828e-12
774,2021-05-31,-5.38839e-09
775,2022-11-21,8.61395e-11
776,2024-06-19,0.0320019
777,2023-08-18,-9.94978e-11
778,2024-04-19,6.54267e-11
779,2022-06-19,-3.72255e-11
780,2021-09-23,-1.89219e-10
781,2021-02-14,0.0307821
782,2023-01-26,-3.20796e-08
783,2021-04-05,-8.85138e-10
784,2022-12-12,1.107e-09
785,2024-07-28,5.81266e-10
786,2024-02-02,1.23166e-10
787,2024-04-27,-2.63405e-11
788,2023-10-29,-1.06799e-07
789,2022-02-06,-3.83889e-08
790,2023-10-02,2.39828e-12
791,2021-11-24,0.0298054
792,2020-12-18,-1.14719e-06
793,2024-03-13,3.14526e-10
794,2021-10-22,-2.19269e-12
795,2024-03-08,5.19839e-11
796,2023-05-24,-1.96687e-09
797,2022-08-02,9.30682e-10
798,2023-03-13,-0.0599172
799,2021-05-07,-2.37092e-11
800,2024-05-14,1.12994e-10
801,2023-02-17,0.0385482
802,2023-08-30,0.0518568
803,2023-08-19,9.60838e-10
804,2023-07-02,0.00983057
805,2022-09-05,-0.00403144
806,2024-02-18,3.32461e-11
807,2021-06-21,-2.12587e-09
808,2021-12-27,-1.48937e-11
809,2022-03-27,0.0165006
810,2024-10-01,-1.21957e-11
811,2022-03-29,3.28523e-10
812,2023-11-11,2.08706e-06
813,2023-10-22,1.67017e-10
814,2024-03-22,3.31696e-10
815,2022-09-21,1.44832e-10
816,2024-03-16,-5.67437e-10
817,2022-03-27,0.000236154
818,2024-02-04,-1.51154e-10
819,2023-12-25,4.72439e-10
820,2022-03-12,5.4044e-13
821,2023-04-18,2.33862e-09
822,2022-07-15,0.0650483
